Tranche or routes to stations,Region,Train operaing company or local authority,Scheme name,Station name,Scheme description, Total scheme cost ,DfT Funding,Cycle spaces - additional or routes to stations,Financial year
2,East of England,Greater Anglia,Ely Cycle Parking,Ely,"Sheltered storage with new signage, CCTV and lighting.","£470,400","£354,600",100,2013/14
2,North West,Merseyrail,Wirral Line Stations,"Birkenhead Park, Birkenhead Conway Park,  Wallasey Grove Road, Bromborough Rake, Meols, Moreton, Manor Road, Leasowe, Capenhurst, Bache, Little Sutton and Bidston","Secure, safe and sheltered cycle storage facilities with fob access including two tier cycle parking, cover, lighting, CCTV providing storage for approximate 32 bikes at each station.","£510,000","£430,000",320,2013/14
2,South East ,Southern Trains,Horsham Cycle Hub,Horsham,"Cycle hub with cycle hire and parking for up to 200 bikes with CCTV, lighting and new signage.","£250,000","£200,000",200,2013/14
2,South East ,Southern Trains,Brompton Docks,"Three Bridges, Haywards Heath",Cycle hire with 2 Brompton Docks at each site.,"£200,000","£150,000",Not Applicable,2013/14
2,South West,First Great Western,Hayle Cyclelink,Hayle,20 additional cycle spaces plus a new cycleway link to the harbour with directional signage.,"£46,000","£23,000",20,2013/14
2,South East ,Southern Trains,Hassocks Cycle Hub,Hassocks,"2 tier parking to increase parking to 200 bikes including CCTV, lighting and signage along cycle lanes to the station.","£200,000","£150,000",200,2013/14
2,North West,Merseyrail,Northern Line Stations,"Hunts Cross, Cressington, Aigburth, St. Michaels, Fazakerley, Aughton Park, Town Green, Old Road and Walton (later added Liverpool Central, West Kirby and Liverpool South Parkway)","Secure, safe and sheltered cycle storage facilities with fob access including two tier cycle parking, cover, lighting, CCTV providing storage for approximate 32 bikes at each station.","£470,000","£420,000",290,2013/14
2,South East ,Southern Trains,Angmering Cycle Hub,Angmering,"100 new cycle spaces with added CCTV, lighting and signage. There will also be a mobile repair workshop.","£80,000","£50,000",100,2013/14
2,South East ,Southern Trains,Merstham Cycle Hub,Merstham,"100 new cycle spaces with added CCTV, lighting and signage. There will also be a mobile repair workshop.","£80,000","£50,000",100,2013/14
2,East of England,Greater Anglia,Norwich Cycle Hub,Norwich,"Sheltered storage with new signage, CCTV and lighting plus a new retail area.","£444,080","£424,080",242,2013/14
2,West Midlands,London Midland,Birmingham Cycle Hire Connection,"4 stations including Birmingham New Street, Birmingham Snow Hill, Longbridge and Rowley Regis",To provide an interconnected cycle hire schemes covering the Birmingham area.,"£210,000","£210,000",Not Applicable,2013/14
2,North West,Merseyrail,Merseyrail Bike n' Go,"Final locations to be decided but possibly Brunswick, Bidston, New Brighton, Birkenhead North, Bootle Oriel Road, Hunts Cross and Sandhills ",Bike hire through 'Abellio bike'.,"£140,000","£140,000",Not Applicable,2013/14
2,East of England,Greater Anglia,Colchester Cycle Hub,Colchester,"New sheltered racks for 136 bikes, related signage, CCTV and lighting. Includes conversion of an existing building for retail, hire and repair facilities.","£298,656","£298,656",136,2013/14
2,North West,Northern Rail Ltd,Northern Cycle Storage,"Croston, Parbold, Burscough Junction, Adlington, Poulton le Fylde, St Annes on Sea, Lytham, Blackpool South, Chorley, Leyland, Darwen, Millom, Morecambe, Bare Lane, Burnely Central, Burnley Manchester Road. Buckshaw Parkway and Appley Bridge",Additional 10 covered stands including CCTV coverage and improved signage for each station giving a total of 360 extra spaces.,"£198,000","£198,000",360,2013/14
2,East Midlands,East Midland Trains,Leicester Cycle Hub,Leicester,"Cycle hub with secure cycle storage for 200 bikes, lockers, changing facilites and a retail outlet. ","£600,000","£600,000",200,2013/14
2,South West,First Great Western,Exmouth Cycle Hub,Exmouth,"30 secure cycle parking spaces, public pump and CCTV. Cycle hire and bike repair centre.","£58,100","£53,200",30,2013/14
2,South West,South West Trains,South West Secure Cycle Parking,"Camberley, Brockenhurst, Bournemouth, Worcester Park, Weymouth, Christchurch, Southampton Airport Parkway, Bracknell, Esher, Feltham and Haslemere",A total of 258 new cycle parking spaces all within new secure cycle compounds.,"£495,000","£495,000",258,2013/14
2,East of England,First Capital Connect,Harpenden cycle parking,Harpenden,300 additional cycle parking spaces.,"£168,900","£148,900",300,2013/14
2,East of England,First Capital Connect,Hatfield cycle parking,Hatfield,300 additional cycle parking spaces.,"£173,000","£153,000",300,2013/14
2,East of England,First Capital Connect,Leagrave cycle parking,Leagrave,84 additional cycle parking spaces in a new cycle compound.,"£73,700","£61,700",84,2013/14
2,East Midlands,East Midland Trains,Nottingham Cycle Hub,Nottingham,"Cycle hub with lockers, showers, changing rooms, bike wash and bike hire with an option for a retail unit.","£600,000","£600,000",140,2013/14
2,East of England,London Midland,Leighton Buzzard Cycle Hub,Leighton Buzzard,Secure cycle hub with 180 cycle parking spaces.,"£50,000","£50,000",180,2013/14
2,North East,East Coast Mainline,Newcastle Central Cycle Hub,Newcastle Central,122 additional cycle parking spaces with related signage and CCTV.,"£18,061","£13,061",122,2013/14
2,North West,First Transpennine,Warrington Ccycle Parking,Warrington,20 highly secure new cycle parking spaces accessed via a smart card system.,"£80,000","£80,000",20,2013/14
2,South East ,c2c,Upminster Cycle Hub,Upminster,"Secure cycle hub with additional cycle parking spaces in a disused area with increased security, lighting and CCTV.","£75,000","£75,000",82,2013/14
2,Yorkshire & Humber,East Coast Mainline,Wakefield Westgate Cycle Hub,Wakefield Westgate,60 covered cycle parking spaces with related signage an CCTV.,"£34,862","£34,862",60,2013/14
1,East of England,Greater Anglia,Cambridge CyclePoint,Cambridge,"The Cambridge CyclePoint offering cycle storage for 3,000 bikes, cycle hire, cycle repairs and cycle sales.","£2,500,000.00","£500,000.00",3000,2012/13
1,South East ,Greater Anglia,Chelmsford CyclePoint,Chelmsford,"The Chelmsford CyclePoint will provide cycle storage for 500 bikes, cycle hire, cycle repairs and cycle sales.","£400,000.00","£200,000.00",500,2012/13
1,East of England,Greater Anglia,Greater Anglia Bike n' Go,15 stations,Bike hire.,"£700,000.00","£500,000.00",Not Applicable,2012/13
1,,ATOC,PlusBike,"All 2,151 stations","PlusBike systems infrastructure- systems, ticketing and reservation system to enable nationwide integrated cycle-hire ticketing.","£250,000.00","£250,000.00",Not Applicable,2012/13
1,South East ,Chiltern,Marylebone Cycle Parking,Marylebone,Replace & increase existing cycle parking with double stack solution.,"£90,000.00","£30,000.00",Not Applicable,2012/13
1,East Midlands,East Midland Trains,Cycle hubs at 4 stations,"Nottingham, Bulwell, Beeston and Hucknell","Secure cycle storage, increased capacity, bike hire and CCTV.","£85,000.00","£70,000.00",Not Applicable,2012/13
1,East of England,First Capital Connect,Letchworth Cycle Spaces,Letchworth,New and additional cycle spaces.,"£11,850.00","£9,100.00",Not Applicable,2012/13
1,East of England,First Capital Connect,St Albans Cycle Spaces,St Albans,New and additional cycle spaces.,"£65,500.00","£53,000.00",Not Applicable,2012/13
1,East of England,First Capital Connect,Bedford Cycle Spaces,Bedford,100 new spaces.,"£27,500.00","£20,000.00",100,2012/13
1,East of England,First Capital Connect,Royston Cycle Spaces,Royston,100 new spaces.,"£67,750.00","£57,000.00",100,2012/13
1,South West,First Great Western,Exeter Stations,"Exeter St David, Exeter Central and Digby & Sowton","Secure parking, hire facilities, CCTV and bike pumps.","£288,200.00","£198,400.00",40,2012/13
1,South East ,First Great Western,Reading Brompton Dock,Reading,Brompton Dock bike hire and installation of bike repair centre.,"£124,500.00","£103,000.00",80,2012/13
1,South West,First Great Western,Bristol Cycle Hub,Bristol Temple Meads,Secure cycle parking and cycle hire facilities.,"£160,500.00","£137,800.00",80,2012/13
1,South East ,First Great Western,Oxford Brompton Dock,Oxford,"Brompton Dock cycle hire, cycle storage and repair facilities.","£137,000.00","£110,800.00",80,2012/13
1,West Midlands,London Midland,Stourbridge Junction Cycle Hub,Stourbridge Junction,Secure cycle hub scheme pilot and increased capacity.,"£60,000.00","£30,000.00",Not Applicable,2012/13
1,West Midlands,London Midland,Selly Oak Cycle Hub,Selly Oak,Secure cycle hub scheme pilot and increased capacity.,"£60,000.00","£30,000.00",Not Applicable,2012/13
1,East of England,London Midland,London Midland New Cycle Spaces,"Hemel Hempstead, Nothampton, Tring, Watford Junction, Whitlocks End, Droitwich Spa, Rugeley Trent Valley, Kidderminster, Stone, Long Buckby, Kings Langley, Hagley and Wythall",224 new cycle spaces across the stations.,"£140,700.00","£140,200.00",224,2012/13
1,North West,Merseyrail,Merseyrail Bike n' Go,"10 stations across Merseyrail including Liverpool Lime Street, Liverpool South Parkway, Southport, Ellesmere Port and Hooton",Bike hire.,"£450,000.00","£350,000.00",100,2012/13
1,North West,Merseyrail,Wirral Line Stations,"Bidston, Birkenhead North, Ellesmere Port, Hoylake, New Brighton and West Kirby",Safe and sheltered cycle storage facilities with swipe card access at 6 of Merseyrail's stations. ,"£300,000.00","£300,000.00",Not Applicable,2012/13
1,North West,Merseyrail,Northern Line Stations,"Aintree, Bootle New Strand, Bootle Oriel Road, Kirkby, Liverpool South Parkway and Seaforth & Litherland ",Safe and sheltered cycle storage facilities with swipe card access at 6 of Merseyrail's stations. ,"£300,000.00","£300,000.00",Not Applicable,2012/13
1,Yorkshire & Humber,Northern Rail Ltd,Northern Bike n' Go,25 stations,Bike hire.,"£1,150,000.00","£800,000.00",250,2012/13
1,North West,Northern Rail Ltd,Secure cycle parking,"Salford Central, Manchester Oxford Road, Blackburn, Blackpool North, Ashton u Lyme, Hazel Grove and Eccles",Secure and safe cycling sheltered storage facilities with swipe card access at 7 of Northern's stations.,"£400,000.00","£400,000.00",Not Applicable,2012/13
1,North West,Northern Rail Ltd,Bolton Cycle Hub,Bolton,"Cycle hubs providing cycle storage for 200 bikes, cycle hire, cycle repairs and cycle sales at a dedicated facilities adjacent to the stations.","£350,000.00","£350,000.00",200,2012/13
1,South East ,Southeastern,Brompton Dock Network,"Canterbury West, Ashford International, Maidstone East and Tonbridge",A network of four 20 bay Brompton Docks across 4 Kent stations providing bike hire plus 10 cycle spaces at Tonbridge.,"£133,000.00","£124,000.00",80,2012/13
1,South East ,Southern Trains,Peckham Rye Cycle Hub,Peckham Rye,"A Cycle Hub including a cycle shop, maintenance / repair shop, a Brompton Dock hire system, controlled access system, monitored CCTV and help point.  ","£400,000.00","£300,000.00",Not Applicable,2012/13
1,South East ,South West Trains,Richmond and Surbiton Cycle Hubs,Richmond and Surbiton,New cycle hubs.,"£220,000.00","£110,000.00",Not Applicable,2012/13
1,South West,South West Trains,Increased Cycle Parking,"Alton, Ash Vale, Claygate, Cobham & S D, Egham, Fareham, Farnborough, Farncombe, Farnham, Fratton, Godalming, Guildford, Hampton Court, Haslemere, Hersham, Horsley, Liphook, London Rd Guildford, Milford, Oxshott, Petersfield, Southampton Ctl, Surbiton, West Byfleet and Weybridge",Increased cycle parking.,"£1,188,000.00","£590,000.00",Not Applicable,2012/13
1,South East ,South West Trains,Secure Cycle Parking,"Fleet, Havant, Staines, Swanwick, Totton and  Wokingham",New security compounds at 6 stations.,"£465,000.00","£225,000.00",Not Applicable,2012/13
1,South East ,Southern Trains,Brighton Cycle Hub,Brighton,"The Cycle Hub will provide parking for 500 bikes, cycle hire, changing facilities, reception, lift, maintenance work shops and a meeting area. ","£945,000.00","£550,000.00",500,2012/13
1,South East ,Southeastern,Cycle Parking Spaces,Ashford International,New cycle parking spaces.,"£137,028.00","£137,028.00",96,2012/13
